Hepes_treatment,time(days),rep1,rep2,rep3,rep4,rep5,rep6,OriSource,Seawater.Percent,Light
0.00,16.00,-65.25,-328.27,-45.02,0.00,0.00,0.00,Morris_2013_f1a,100,65
0.00,21.00,-217.98,-340.84,22.56,0.00,0.00,0.00,Morris_2013_f1a,100,65
0.00,25.00,-109.20,-282.31,246.30,0.00,0.00,0.00,Morris_2013_f1a,100,65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
