Buffer,Experiment.Block,Concentration,Seawater.Percent,Light,Time,Replicate,Tech.Rep.,HOOH,OriSource
HEPES,B,10,75,65,3,1,1,913.07978,Morris_2013_f1b
HEPES,B,10,75,65,3,2,1,973.6849603,Morris_2013_f1b
HEPES,B,10,75,65,3,3,1,967.567078,Morris_2013_f1b
HEPES,B,10,50,65,3,1,1,697.9895914,Morris_2013_f1b
HEPES,B,10,50,65,3,2,1,715.0313963,Morris_2013_f1b
HEPES,B,10,50,65,3,3,1,728.737697,Morris_2013_f1b
HEPES,B,10,25,65,3,1,1,471.0434149,Morris_2013_f1b
HEPES,B,10,25,65,3,2,1,465.9652083,Morris_2013_f1b
HEPES,B,10,25,65,3,3,1,434.1987815,Morris_2013_f1b
HEPES,B,10,0,65,3,1,1,205.9884967,Morris_2013_f1b
HEPES,B,10,0,65,3,2,1,272.0428675,Morris_2013_f1b
HEPES,B,10,0,65,3,3,1,165.6379411,Morris_2013_f1b
Control,B,0,100,65,5,1,1,242.9370721,Morris_2013_f1b
Control,B,0,100,65,5,2,1,237.9870093,Morris_2013_f1b
Control,B,0,100,65,5,3,1,257.8184546,Morris_2013_f1b
Control,B,0,75,65,5,1,1,258.273122,Morris_2013_f1b
Control,B,0,75,65,5,2,1,240.8380814,Morris_2013_f1b
Control,B,0,75,65,5,3,1,288.530295,Morris_2013_f1b
Control,B,0,50,65,5,1,1,219.7071592,Morris_2013_f1b
Control,B,0,50,65,5,2,1,225.4964764,Morris_2013_f1b
Control,B,0,50,65,5,3,1,284.0549836,Morris_2013_f1b
Control,B,0,25,65,5,1,1,162.1524241,Morris_2013_f1b
Control,B,0,25,65,5,2,1,301.0870624,Morris_2013_f1b
Control,B,0,25,65,5,3,1,398.1739284,Morris_2013_f1b
Control,B,0,0,65,5,1,1,194.4286793,Morris_2013_f1b
Control,B,0,0,65,5,2,1,349.0459231,Morris_2013_f1b
Control,B,0,0,65,5,3,1,381.0956991,Morris_2013_f1b
HEPES,B,10,100,65,5,1,1,1824.285979,Morris_2013_f1b
HEPES,B,10,100,65,5,2,1,1775.275914,Morris_2013_f1b
HEPES,B,10,100,65,5,3,1,1688.493417,Morris_2013_f1b
HEPES,B,10,75,65,5,1,1,1508.405827,Morris_2013_f1b
HEPES,B,10,75,65,5,2,1,1532.121174,Morris_2013_f1b
HEPES,B,10,75,65,5,3,1,1586.995338,Morris_2013_f1b
HEPES,B,10,50,65,5,1,1,1034.876176,Morris_2013_f1b
HEPES,B,10,50,65,5,2,1,1083.89436,Morris_2013_f1b
HEPES,B,10,50,65,5,3,1,1051.562554,Morris_2013_f1b
HEPES,B,10,25,65,5,1,1,687.4970621,Morris_2013_f1b
HEPES,B,10,25,65,5,2,1,744.1283609,Morris_2013_f1b
HEPES,B,10,25,65,5,3,1,682.6640848,Morris_2013_f1b
HEPES,B,10,0,65,5,1,1,255.9600445,Morris_2013_f1b
HEPES,B,10,0,65,5,2,1,334.5183606,Morris_2013_f1b
HEPES,B,10,0,65,5,3,1,318.0879469,Morris_2013_f1b
Control,B,0,100,65,7,1,1,235.8488095,Morris_2013_f1b
Control,B,0,100,65,7,2,1,326.2747325,Morris_2013_f1b
Control,B,0,100,65,7,3,1,365.4422698,Morris_2013_f1b
Control,B,0,75,65,7,1,1,294.3037101,Morris_2013_f1b
Control,B,0,75,65,7,2,1,261.4554824,Morris_2013_f1b
Control,B,0,75,65,7,3,1,332.9951115,Morris_2013_f1b
Control,B,0,50,65,7,1,1,274.6993518,Morris_2013_f1b
Control,B,0,50,65,7,2,1,282.1545243,Morris_2013_f1b
Control,B,0,50,65,7,3,1,274.4938841,Morris_2013_f1b
Control,B,0,25,65,7,1,1,227.6875833,Morris_2013_f1b
Control,B,0,25,65,7,2,1,277.9593812,Morris_2013_f1b
Control,B,0,25,65,7,3,1,369.0664788,Morris_2013_f1b
Control,B,0,0,65,7,1,1,230.8751199,Morris_2013_f1b
Control,B,0,0,65,7,2,1,213.6085458,Morris_2013_f1b
Control,B,0,0,65,7,3,1,298.3907575,Morris_2013_f1b
HEPES,B,10,100,65,7,1,1,2421.193638,Morris_2013_f1b
HEPES,B,10,100,65,7,2,1,2413.874872,Morris_2013_f1b
HEPES,B,10,100,65,7,3,1,2191.888319,Morris_2013_f1b
HEPES,B,10,75,65,7,1,1,1875.743108,Morris_2013_f1b
HEPES,B,10,75,65,7,2,1,1860.824613,Morris_2013_f1b
HEPES,B,10,75,65,7,3,1,1919.238335,Morris_2013_f1b
HEPES,B,10,50,65,7,1,1,1264.216501,Morris_2013_f1b
HEPES,B,10,50,65,7,2,1,1355.643596,Morris_2013_f1b
HEPES,B,10,50,65,7,3,1,1381.763724,Morris_2013_f1b
HEPES,B,10,25,65,7,1,1,862.9733706,Morris_2013_f1b
HEPES,B,10,25,65,7,2,1,874.5361801,Morris_2013_f1b
HEPES,B,10,25,65,7,3,1,931.1804776,Morris_2013_f1b
HEPES,B,10,0,65,7,1,1,322.3270943,Morris_2013_f1b
HEPES,B,10,0,65,7,2,1,374.5476177,Morris_2013_f1b
HEPES,B,10,0,65,7,3,1,428.1991224,Morris_2013_f1b
Control,B,0,100,65,10,1,1,267.9649572,Morris_2013_f1b
Control,B,0,100,65,10,2,1,302.9956652,Morris_2013_f1b
Control,B,0,100,65,10,3,1,304.640153,Morris_2013_f1b
Control,B,0,75,65,10,1,1,280.0463863,Morris_2013_f1b
Control,B,0,75,65,10,2,1,231.136665,Morris_2013_f1b
Control,B,0,75,65,10,3,1,369.0266071,Morris_2013_f1b
Control,B,0,50,65,10,1,1,261.0228523,Morris_2013_f1b
Control,B,0,50,65,10,2,1,263.4951802,Morris_2013_f1b
Control,B,0,50,65,10,3,1,413.7167822,Morris_2013_f1b
Control,B,0,25,65,10,1,1,204.3775627,Morris_2013_f1b
Control,B,0,25,65,10,2,1,290.7463497,Morris_2013_f1b
Control,B,0,25,65,10,3,1,235.4029796,Morris_2013_f1b
Control,B,0,0,65,10,1,1,221.6746643,Morris_2013_f1b
Control,B,0,0,65,10,2,1,227.9464226,Morris_2013_f1b
Control,B,0,0,65,10,3,1,238.5136758,Morris_2013_f1b
HEPES,B,10,100,65,10,1,1,3266.335896,Morris_2013_f1b
HEPES,B,10,100,65,10,2,1,3076.750916,Morris_2013_f1b
HEPES,B,10,100,65,10,3,1,2914.871199,Morris_2013_f1b
HEPES,B,10,75,65,10,1,1,2511.063902,Morris_2013_f1b
HEPES,B,10,75,65,10,2,1,2441.552914,Morris_2013_f1b
HEPES,B,10,75,65,10,3,1,2700.131632,Morris_2013_f1b
HEPES,B,10,50,65,10,1,1,1651.707503,Morris_2013_f1b
HEPES,B,10,50,65,10,2,1,1040.177494,Morris_2013_f1b
HEPES,B,10,50,65,10,3,1,1856.928308,Morris_2013_f1b
HEPES,B,10,25,65,10,1,1,1026.184957,Morris_2013_f1b
HEPES,B,10,25,65,10,2,1,1073.886296,Morris_2013_f1b
HEPES,B,10,25,65,10,3,1,1021.755952,Morris_2013_f1b
HEPES,B,10,0,65,10,1,1,305.3500729,Morris_2013_f1b
HEPES,B,10,0,65,10,2,1,384.3954129,Morris_2013_f1b
HEPES,B,10,0,65,10,3,1,343.6353797,Morris_2013_f1b
Control,B,0,100,65,14,1,1,282.887199,Morris_2013_f1b
Control,B,0,100,65,14,2,1,343.4612185,Morris_2013_f1b
Control,B,0,100,65,14,3,1,521.0740557,Morris_2013_f1b
